"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","68504","KBO-68504","KT 위즈","이호연","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68504","0.146","27","43","41","3","6","1","0","0","7","0","0","0","1","0","12","2","0.171","0.167","0","0.338"
"2024","68507","KBO-68507","롯데 자이언츠","장두성","OF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68507","0.156","71","37","32","23","5","0","0","0","5","1","14","3","3","2","9","2","0.156","0.270","1","0.426"
"2024","68518","KBO-68518","롯데 자이언츠","정보근","C","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68518","0.226","89","140","133","9","30","0","1","2","38","7","0","0","3","0","31","5","0.286","0.243","4","0.529"
"2024","68646","KBO-68646","KIA 타이거즈","한준수","C","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68646","0.307","115","316","287","39","88","22","0","7","131","41","0","0","21","2","48","7","0.456","0.351","4","0.807"
"2024","68700","KBO-68700","한화 이글스","이원석","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68700","0.233","87","154","133","26","31","4","1","0","37","13","8","2","16","2","32","3","0.278","0.322","1","0.600"
"2024","68868","KBO-68868","SSG 랜더스","최준우","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68868","0.240","18","34","25","2","6","2","0","0","8","5","0","0","9","0","8","0","0.320","0.441","2","0.761"
"2024","68904","KBO-68904","NC 다이노스","오영수","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68904","0.200","20","34","30","4","6","0","0","3","15","5","0","0","2","1","6","0","0.500","0.265","0","0.765"
"2024","68912","KBO-68912","NC 다이노스","김형준","C","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68912","0.195","119","414","354","39","69","12","0","17","132","50","0","0","45","2","144","6","0.373","0.285","12","0.658"
"2024","69056","KBO-69056","KT 위즈","박민석","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69056","0.214","20","14","14","6","3","0","0","0","3","0","0","1","0","0","7","0","0.214","0.214","3","0.428"
"2024","69064","KBO-69064","KT 위즈","강민성","IF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69064","0.000","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0","0.000"
