ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
2.25,4,0,0,0,0,0,1,-,15,4,3,1,0,0,5,1,1,2024,NC,12,4.0,63959,임정호,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63959,,,,,,,,,,,,,
8.15,19,0,0,1,2,2,3,0.333,88,17 2/3,28,3,4,2,15,19,16,2025,NC,53,17.666667,63959,임정호,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63959,,,,,,,,,,,,,
9.00,8,0,0,0,0,0,1,-,13,2,5,0,1,1,5,2,2,2013,NC,6,2.0,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
8.10,6,0,0,0,0,0,0,-,19,3 1/3,4,0,4,0,4,4,3,2014,넥센,10,3.333333,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
10.71,23,0,0,0,1,0,1,0.000,99,19 1/3,29,4,10,3,12,23,23,2015,넥센,58,19.333333,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
0.00,4,0,0,0,0,0,0,-,16,4 2/3,3,0,1,0,2,0,0,2018,넥센,14,4.666667,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
6.43,17,0,0,0,1,0,1,0.000,69,14,17,4,11,1,13,10,10,2020,삼성,42,14.0,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
4.74,30,0,0,1,1,0,3,0.500,110,24 2/3,28,2,14,0,14,15,13,2021,삼성,74,24.666667,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
3.68,46,0,0,0,0,0,9,-,138,29 1/3,30,5,15,3,23,13,12,2022,삼성,88,29.333333,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
8.50,23,0,0,2,1,0,1,0.667,83,18,32,2,3,0,17,17,17,2023,삼성,54,18.0,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
3.90,37,0,0,2,1,1,8,0.667,121,30,31,2,6,4,12,13,13,2024,삼성,90,30.0,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
0.00,1,0,0,0,0,0,0,-,5,1,2,0,0,0,1,0,0,2025,삼성,3,1.0,63960,이상민,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=63960,,,,,,,,,,,,,
2.10,34,0,0,1,2,0,8,0.333,145,34 1/3,39,1,6,3,26,11,8,2013,NC,103,34.333333,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
5.22,48,0,0,4,4,5,3,0.500,281,60 1/3,73,7,26,7,51,43,35,2014,화성,181,60.333333,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
1.57,19,0,0,5,0,3,1,1.000,121,28 2/3,28,0,10,3,17,7,5,2015,화성,86,28.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
5.35,39,0,0,1,1,0,14,0.500,176,38 2/3,51,3,9,3,26,28,23,2016,경찰,116,38.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
7.33,21,0,0,0,1,0,1,0.000,107,23 1/3,37,3,4,2,17,21,19,2017,경찰,70,23.333333,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
3.73,27,0,0,1,0,1,4,1.000,138,31 1/3,29,2,14,3,28,16,13,2018,화성,94,31.333333,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
5.02,37,0,0,5,4,1,2,0.556,174,37 2/3,41,0,15,2,29,25,21,2019,고양,113,37.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
3.15,21,0,0,0,0,5,2,-,84,20,20,1,5,1,20,7,7,2020,삼성,60,20.0,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
2.45,22,0,0,2,1,5,1,0.667,93,22,25,0,5,1,15,7,6,2021,삼성,66,22.0,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
1.25,20,0,0,3,0,1,6,1.000,81,21 2/3,14,0,4,0,11,4,3,2022,삼성,65,21.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
3.09,19,0,0,2,1,0,6,0.667,93,23 1/3,24,2,4,0,19,9,8,2023,삼성,70,23.333333,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
5.87,9,0,0,1,0,0,2,1.000,38,7 2/3,12,0,2,0,2,8,5,2024,삼성,23,7.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
7.45,36,0,0,1,2,1,7,0.333,183,38 2/3,58,7,12,3,26,35,32,2025,삼성,116,38.666667,63960,이상민,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=63960,,,,,,,,,,,,,
,121,,,,,,,,,,71,15,36,2,75,42,,2013,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.203,397,349,19,1,137,54,4,1,6,0.393,0.279,3
,101,,,,,,,,,,63,7,25,3,43,39,,2014,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.285,252,221,10,2,98,36,6,1,4,0.443,0.363,2
,14,,,,,,,,,,11,1,5,1,9,4,,2016,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.268,47,41,0,0,14,9,0,1,0,0.341,0.362,0
,141,,,,,,,,,,135,19,51,17,90,72,,2017,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.286,554,472,20,2,216,86,3,3,12,0.458,0.371,3
,104,,,,,,,,,,97,8,35,4,58,43,,2018,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.283,391,343,19,1,142,57,1,3,5,0.414,0.352,0
,116,,,,,,,,,,89,6,50,7,60,37,,2019,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.256,413,348,17,0,124,41,3,0,10,0.356,0.358,4
,123,,,,,,,,,,90,12,58,11,72,67,,2020,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.260,426,346,16,0,142,50,3,0,6,0.410,0.379,2
,55,,,,,,,,,,35,8,29,5,24,25,,2021,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.263,171,133,3,0,62,26,2,0,4,0.466,0.406,1
,82,,,,,,,,,,54,5,31,8,44,30,,2022,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.227,280,238,5,1,76,22,2,1,3,0.319,0.335,3
,96,,,,,,,,,,88,7,49,6,50,33,,2023,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.285,373,309,16,0,125,63,2,0,4,0.405,0.388,2
,123,,,,,,,,,,125,13,77,10,63,66,,2024,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.300,511,416,22,1,188,77,4,0,10,0.452,0.417,2
,136,,,,,,,,,,88,6,77,11,80,56,,2025,NC,,,63963,권희동,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=63963,0.246,456,358,24,0,130,39,5,5,10,0.363,0.393,1
,49,,,,,,,,,,60,7,33,8,19,56,,2015,상무,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.364,211,165,15,1,98,48,1,0,4,0.594,0.479,0
,74,,,,,,,,,,96,12,40,6,45,65,,2016,상무,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.360,315,267,27,2,163,68,1,3,7,0.610,0.451,1
,5,,,,,,,,,,4,0,1,0,1,3,,2018,고양,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.333,13,12,1,0,5,1,0,0,0,0.417,0.385,0
,10,,,,,,,,,,9,1,5,1,5,6,,2019,NC,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.273,39,33,3,1,17,5,0,0,2,0.515,0.385,0
,2,,,,,,,,,,2,0,5,0,1,4,,2021,NC,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.286,12,7,2,0,4,3,0,0,0,0.571,0.583,0
,18,,,,,,,,,,14,0,8,1,5,2,,2022,NC,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.341,52,41,3,0,17,15,1,1,0,0.415,0.442,1
,16,,,,,,,,,,11,1,4,1,6,4,,2023,NC,,,63963,권희동,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=63963,0.244,50,45,2,0,16,7,0,0,1,0.356,0.320,0
5.68,46,0,0,3,4,0,0,0.429,266,57,68,2,19,16,57,41,36,2015,KT,171,57.0,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
5.59,53,0,0,2,4,0,5,0.333,260,56 1/3,65,6,19,10,62,38,35,2016,KT,169,56.333333,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
5.08,25,2,1,8,12,0,1,0.400,612,141 2/3,170,13,16,18,125,84,80,2017,KT,425,141.666667,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
5.13,25,3,1,6,9,0,0,0.400,620,142,175,17,25,14,134,91,81,2018,KT,426,142.0,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
2.92,26,1,1,11,6,0,1,0.647,664,166 2/3,147,9,27,14,130,59,54,2021,KT,500,166.666667,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
3.26,28,1,1,13,8,0,0,0.619,758,182 1/3,191,7,23,16,156,69,66,2022,KT,547,182.333333,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
2.78,28,0,0,12,7,0,0,0.632,706,174 2/3,181,7,19,9,114,57,54,2023,KT,524,174.666667,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
4.95,18,0,0,6,8,0,0,0.429,456,100,141,6,14,11,79,61,55,2024,KT,300,100.0,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
3.30,29,1,1,11,8,0,0,0.579,685,161,170,10,30,15,154,70,59,2025,KT,483,161.0,64001,고영표,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=64001,,,,,,,,,,,,,
5.27,12,0,0,0,2,0,6,0.000,57,13 2/3,11,1,11,0,14,8,8,2014,KT,41,13.666667,64001,고영표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=64001,,,,,,,,,,,,,
7.79,14,0,0,0,0,0,1,-,88,17 1/3,26,3,8,5,8,15,15,2015,KT,52,17.333333,64001,고영표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=64001,,,,,,,,,,,,,
4.97,8,0,0,3,0,0,1,1.000,60,12 2/3,20,1,1,0,11,8,7,2016,KT,38,12.666667,64001,고영표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=64001,,,,,,,,,,,,,
0.00,2,0,0,1,0,0,0,1.000,31,9,3,0,1,0,13,0,0,2024,KT,27,9.0,64001,고영표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=64001,,,,,,,,,,,,,
5.40,1,0,0,1,0,0,0,1.000,21,5,5,1,0,0,5,3,3,2025,KT,15,5.0,64001,고영표,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=64001,,,,,,,,,,,,,
,82,,,,,,,,,,43,0,14,2,30,21,,2015,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.276,179,156,2,3,51,10,12,7,3,0.327,0.343,2
,26,,,,,,,,,,3,0,2,0,8,3,,2016,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.103,31,29,1,0,4,0,2,1,0,0.138,0.161,0
,127,,,,,,,,,,131,0,32,13,61,68,,2019,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.281,521,466,10,1,143,32,22,10,8,0.307,0.341,4
,108,,,,,,,,,,53,5,22,2,42,35,,2020,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.239,249,222,5,2,77,25,8,4,4,0.347,0.312,4
,75,,,,,,,,,,55,1,20,2,26,22,,2021,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.320,199,172,6,2,68,13,6,3,3,0.395,0.397,1
,132,,,,,,,,,,106,0,37,2,62,47,,2022,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.284,434,373,10,2,120,35,6,9,10,0.322,0.349,0
,113,,,,,,,,,,118,3,36,3,48,68,,2023,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.297,448,397,20,3,153,41,11,4,4,0.385,0.356,4
,115,,,,,,,,,,124,1,35,1,45,47,,2024,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.353,393,351,14,3,147,34,4,2,9,0.419,0.410,3
,106,,,,,,,,,,109,0,25,7,41,52,,2025,KT,,,64004,김민혁,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64004,0.287,417,380,12,2,125,35,11,3,12,0.329,0.341,2
,68,,,,,,,,,,76,1,41,10,18,57,,2014,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.310,305,245,8,2,91,26,27,7,3,0.371,0.426,0
,19,,,,,,,,,,16,0,3,2,6,9,,2015,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.286,62,56,4,0,20,2,8,3,0,0.357,0.344,3
,37,,,,,,,,,,39,1,24,3,16,24,,2016,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.300,158,130,3,1,47,15,10,7,2,0.362,0.420,0
,93,,,,,,,,,,136,3,40,7,51,89,,2017,상무,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.357,431,381,21,8,182,51,37,10,3,0.478,0.426,0
,85,,,,,,,,,,116,4,44,0,41,68,,2018,상무,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.353,379,329,24,5,162,43,30,7,5,0.492,0.426,2
,6,,,,,,,,,,6,1,3,3,2,5,,2020,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.273,28,22,0,2,13,3,2,1,0,0.591,0.429,1
,18,,,,,,,,,,17,0,6,2,5,6,,2021,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.327,61,52,1,0,18,6,3,1,0,0.346,0.410,0
,3,,,,,,,,,,2,0,3,0,1,2,,2024,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.250,11,8,0,0,2,1,0,0,0,0.250,0.455,0
,6,,,,,,,,,,4,1,3,0,4,4,,2025,KT,,,64004,김민혁,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64004,0.211,22,19,0,0,7,2,2,0,0,0.368,0.318,0
,106,,,,,,,,,,24,1,2,0,35,16,,2015,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.169,146,142,7,0,34,14,5,2,4,0.239,0.181,10
,122,,,,,,,,,,57,3,8,0,40,36,,2016,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.242,251,236,9,1,77,17,17,1,5,0.326,0.264,13
,103,,,,,,,,,,82,4,8,4,58,38,,2017,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.287,303,286,15,2,113,26,18,5,4,0.395,0.314,19
,135,,,,,,,,,,95,4,20,4,58,49,,2018,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.259,403,367,23,3,136,29,11,11,4,0.371,0.304,13
,138,,,,,,,,,,109,3,23,6,68,54,,2019,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.279,433,391,13,1,133,28,24,3,7,0.340,0.328,11
,144,,,,,,,,,,112,3,37,2,98,58,,2020,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.235,535,476,16,3,143,51,35,11,7,0.300,0.291,21
,139,,,,,,,,,,109,6,32,4,65,61,,2021,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.268,460,407,20,2,151,48,16,6,2,0.371,0.323,19
,132,,,,,,,,,,93,4,43,2,75,69,,2022,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.240,449,388,8,2,117,34,23,2,11,0.302,0.316,16
,53,,,,,,,,,,45,3,17,1,29,22,,2024,KT,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.266,192,169,4,0,58,28,7,1,3,0.343,0.337,8
,94,,,,,,,,,,57,2,17,3,49,39,,2025,한화,,,64006,심우준,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64006,0.231,275,247,9,1,74,22,11,1,4,0.300,0.287,7
,68,,,,,,,,,,34,2,9,1,23,14,,2014,KT,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.246,155,138,6,0,46,15,4,3,2,0.333,0.291,11
,4,,,,,,,,,,2,1,0,1,1,2,,2017,KT,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.105,20,19,0,0,5,1,0,0,0,0.263,0.150,0
,2,,,,,,,,,,2,0,0,0,2,1,,2018,KT,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.250,8,8,0,1,4,2,0,0,0,0.500,0.250,0
,2,,,,,,,,,,1,0,0,0,1,0,,2021,KT,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.143,7,7,0,0,1,0,0,0,0,0.143,0.143,0
,64,,,,,,,,,,34,1,26,5,23,30,,2023,상무,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.213,199,160,4,0,41,24,8,1,2,0.256,0.330,9
,45,,,,,,,,,,38,2,23,2,20,18,,2024,KT,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.288,159,132,3,0,47,13,15,3,5,0.356,0.399,6
,2,,,,,,,,,,0,0,0,0,1,0,,2025,한화,,,64006,심우준,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64006,0.000,7,7,0,0,0,0,0,0,0,0.000,0.000,0
,51,,,,,,,,,,13,2,7,0,32,10,,2015,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.163,88,80,3,0,22,6,0,0,1,0.275,0.230,1
,48,,,,,,,,,,16,1,4,2,26,9,,2016,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.200,87,80,7,0,26,7,1,0,2,0.325,0.253,6
,33,,,,,,,,,,12,2,4,2,26,8,,2019,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.200,68,60,1,0,19,7,2,0,1,0.317,0.265,4
,74,,,,,,,,,,40,8,11,2,43,24,,2020,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.260,172,154,3,2,71,25,0,1,4,0.461,0.314,1
,53,,,,,,,,,,21,2,8,2,33,14,,2021,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.219,106,96,6,0,33,16,2,0,1,0.344,0.292,0
,28,,,,,,,,,,11,2,3,0,17,5,,2022,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.224,52,49,3,0,20,4,1,0,2,0.408,0.269,0
,112,,,,,,,,,,79,9,16,3,81,30,,2023,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.260,330,304,20,0,126,46,3,1,4,0.414,0.298,2
,125,,,,,,,,,,89,17,45,7,86,50,,2024,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.256,403,347,11,0,151,58,6,1,8,0.435,0.351,6
,79,,,,,,,,,,37,5,25,5,44,22,,2025,KT,,,64007,문상철,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=64007,0.214,209,173,6,1,60,20,1,1,3,0.347,0.325,0
,57,,,,,,,,,,56,14,26,6,80,39,,2014,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.272,240,206,14,0,112,52,9,1,3,0.544,0.368,1
,57,,,,,,,,,,67,15,22,9,65,44,,2015,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.313,247,214,15,0,127,53,4,3,2,0.593,0.397,7
,53,,,,,,,,,,61,17,17,4,40,42,,2016,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.289,238,211,16,0,128,56,11,6,6,0.607,0.345,6
,91,,,,,,,,,,125,36,33,3,84,82,,2017,상무,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.339,409,369,22,1,257,101,11,2,8,0.696,0.395,6
,94,,,,,,,,,,116,22,42,3,72,66,,2018,상무,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.298,436,389,16,0,198,78,9,3,12,0.509,0.369,10
,46,,,,,,,,,,45,4,23,2,36,26,,2019,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.313,170,144,13,0,70,32,7,1,4,0.486,0.412,4
,14,,,,,,,,,,12,1,5,1,8,8,,2020,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.250,55,48,0,0,15,4,3,0,2,0.313,0.327,1
,24,,,,,,,,,,21,2,15,1,13,17,,2021,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.266,95,79,6,0,33,10,3,0,4,0.418,0.389,0
,55,,,,,,,,,,40,11,16,3,31,29,,2022,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.284,161,141,11,0,84,36,2,2,2,0.596,0.366,1
,4,,,,,,,,,,1,1,1,0,5,1,,2023,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.083,14,12,0,0,4,4,0,1,0,0.333,0.143,0
,28,,,,,,,,,,16,2,20,3,13,13,,2025,KT,,,64007,문상철,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=64007,0.193,106,83,4,0,26,11,0,0,1,0.313,0.368,4
