ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,season,record_team,IP_OUTS,IP_DECIMAL,kbo_player_id,player_name,level,role,has_record,source_url,AVG,PA,AB,2B,3B,TB,RBI,SB,CS,GDP,SLG,OBP,E
,41,,,,,,,,,,14,0,7,2,17,14,,2021,LG,,,50108,함창건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,0.179,89,78,2,3,22,11,2,0,1,0.282,0.258,0
,53,,,,,,,,,,34,1,21,1,32,16,,2023,LG,,,50108,함창건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,0.252,157,135,6,2,47,22,1,1,3,0.348,0.357,1
,77,,,,,,,,,,77,7,35,3,46,55,,2024,LG,,,50108,함창건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,0.304,291,253,19,1,119,32,3,6,1,0.470,0.395,5
,76,,,,,,,,,,79,6,35,2,48,39,,2025,LG,,,50108,함창건,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50108,0.313,292,252,13,1,112,59,1,1,2,0.444,0.397,2
4.15,4,0,0,0,0,0,0,-,20,4 1/3,6,0,1,1,1,2,2,2020,LG,13,4.333333,50109,성재헌,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50109,,,,,,,,,,,,,
7.31,30,0,0,0,0,0,1,-,159,32,46,1,16,5,20,29,26,2024,KT,96,32.0,50109,성재헌,first_team,pitching,1,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50109,,,,,,,,,,,,,
2.17,16,0,0,3,1,0,0,0.750,205,49 2/3,42,2,26,0,34,14,12,2020,LG,149,49.666667,50109,성재헌,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,,,,,,,,,,,,,
6.75,2,0,0,0,0,0,0,-,21,4,8,1,2,0,1,3,3,2022,LG,12,4.0,50109,성재헌,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,,,,,,,,,,,,,
6.13,17,0,0,3,3,0,0,0.500,186,39 2/3,51,2,18,3,35,30,27,2023,LG,119,39.666667,50109,성재헌,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,,,,,,,,,,,,,
2.43,24,0,0,1,0,2,7,1.000,154,37,33,2,13,0,38,12,10,2024,KT,111,37.0,50109,성재헌,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,,,,,,,,,,,,,
8.22,28,0,0,1,2,1,7,0.333,119,23,36,4,14,0,15,24,21,2025,KT,69,23.0,50109,성재헌,futures,pitching,1,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50109,,,,,,,,,,,,,
,23,,,,,,,,,,11,0,1,0,6,9,,2020,LG,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.367,31,30,2,0,13,3,5,0,2,0.433,0.387,2
,8,,,,,,,,,,1,0,1,1,2,2,,2021,LG,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.100,12,10,0,0,1,0,0,0,0,0.100,0.250,2
,36,,,,,,,,,,19,3,6,0,14,13,,2022,LG,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.257,82,74,0,2,32,14,0,3,2,0.432,0.309,5
,27,,,,,,,,,,9,1,1,0,12,8,,2023,LG,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.205,45,44,0,0,12,6,2,1,5,0.273,0.222,5
,102,,,,,,,,,,126,18,17,9,65,70,,2024,롯데,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.317,430,398,26,4,214,78,7,4,6,0.538,0.354,14
,97,,,,,,,,,,82,4,22,10,66,39,,2025,롯데,,,50150,손호영,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50150,0.250,375,328,12,0,106,41,7,0,9,0.323,0.313,17
,44,,,,,,,,,,47,3,25,1,20,28,,2020,LG,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.281,194,167,7,1,65,23,19,4,2,0.389,0.376,7
,56,,,,,,,,,,56,3,13,0,18,32,,2021,LG,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.320,190,175,10,0,75,28,11,0,3,0.429,0.363,5
,9,,,,,,,,,,11,1,3,1,5,6,,2022,LG,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.333,38,33,0,0,14,6,2,0,2,0.424,0.395,5
,19,,,,,,,,,,22,4,3,1,11,12,,2023,LG,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.286,81,77,5,1,41,19,2,2,1,0.532,0.321,1
,3,,,,,,,,,,2,0,0,0,2,2,,2024,롯데,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.222,9,9,0,0,2,0,0,0,0,0.222,0.222,1
,3,,,,,,,,,,5,0,0,0,2,1,,2025,롯데,,,50150,손호영,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50150,0.500,11,10,1,0,6,4,0,0,0,0.600,0.455,1
,14,,,,,,,,,,2,0,1,1,7,3,,2021,LG,,,50167,이주형,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167,0.125,19,16,0,0,2,0,2,1,0,0.125,0.222,0
,69,,,,,,,,,,70,6,19,5,53,32,,2023,키움,,,50167,이주형,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167,0.326,243,215,13,4,109,36,3,1,4,0.507,0.390,0
,115,,,,,,,,,,126,13,49,14,119,82,,2024,키움,,,50167,이주형,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167,0.266,537,473,19,3,190,60,6,0,4,0.402,0.352,3
,127,,,,,,,,,,107,11,37,28,115,55,,2025,키움,,,50167,이주형,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50167,0.240,514,446,22,1,164,45,15,1,7,0.368,0.337,1
,26,,,,,,,,,,31,4,20,3,11,19,,2020,LG,,,50167,이주형,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167,0.356,113,87,7,2,54,22,8,3,0,0.621,0.478,2
,40,,,,,,,,,,43,4,27,2,13,39,,2021,LG,,,50167,이주형,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167,0.331,161,130,11,1,68,23,12,2,1,0.523,0.447,3
,31,,,,,,,,,,30,3,20,2,10,18,,2023,고양,,,50167,이주형,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167,0.323,118,93,7,3,52,18,1,1,2,0.559,0.441,1
,2,,,,,,,,,,2,0,1,1,0,1,,2024,고양,,,50167,이주형,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167,0.667,5,3,0,0,2,0,0,0,0,0.667,0.800,0
,3,,,,,,,,,,5,0,4,0,1,2,,2025,고양,,,50167,이주형,futures,hitting,1,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50167,0.625,12,8,0,0,5,4,1,0,0,0.625,0.750,0
,10,,,,,,,,,,0,0,0,0,2,1,,2020,두산,,,50204,박지훈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204,0.000,2,2,0,0,0,0,0,0,0,0.000,0.000,0
,34,,,,,,,,,,4,0,1,1,3,6,,2021,두산,,,50204,박지훈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204,0.333,14,12,1,0,5,2,3,1,0,0.417,0.429,0
,22,,,,,,,,,,4,0,2,0,7,2,,2023,두산,,,50204,박지훈,first_team,hitting,1,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50204,0.211,21,19,1,0,5,2,1,0,0,0.263,0.286,0
