"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2025","69446","KBO-69446","삼성 라이온즈","원태인","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69446","3.24","27","0","0","12","4","0","0","0.750","671","166 2/3","157","20","27","6","108","66","60","500","166.667","1.10"
"2025","69516","KBO-69516","KIA 타이거즈","김현수","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69516","2.45","18","0","0","0","0","0","0","-","86","18 1/3","17","2","13","1","11","5","5","55","18.333","1.64"
"2025","69594","KBO-69594","롯데 자이언츠","박진","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69594","5.32","51","0","0","3","3","1","3","0.500","302","69 1/3","76","10","22","1","50","42","41","208","69.333","1.41"
"2025","69620","KBO-69620","KIA 타이거즈","김기훈","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69620","3.25","24","0","0","1","1","0","0","0.500","117","27 2/3","25","2","10","1","27","11","10","83","27.667","1.27"
"2025","69623","KBO-69623","KT 위즈","이태규","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69623","","","","","","","","","","","","","","","","","","","","",""
"2025","69645","KBO-69645","한화 이글스","장지수","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69645","","","","","","","","","","","","","","","","","","","","",""
"2025","69745","KBO-69745","KIA 타이거즈","김도현","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69745","4.81","24","0","0","4","7","0","0","0.364","561","125 1/3","149","11","33","10","71","79","67","376","125.333","1.45"
"2025","69839","KBO-69839","SSG 랜더스","백승건","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69839","","","","","","","","","","","","","","","","","","","","",""
"2025","69969","KBO-69969","NC 다이노스","전사민","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69969","4.26","74","0","0","7","7","2","13","0.500","370","82 1/3","86","3","33","11","62","45","39","247","82.333","1.45"
"2025","69974","KBO-69974","한화 이글스","배민서","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=69974","","","","","","","","","","","","","","","","","","","","",""
"2025","72523","KBO-72523","두산 베어스","고효준","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=72523","6.86","45","0","0","2","1","0","9","0.667","104","21","29","4","14","1","19","16","16","63","21.000","2.05"
"2025","73117","KBO-73117","KT 위즈","우규민","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=73117","2.44","53","0","0","1","2","0","9","0.333","185","44 1/3","45","2","3","4","24","12","12","133","44.333","1.08"
"2025","73211","KBO-73211","SSG 랜더스","노경은","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=73211","2.14","77","0","0","3","6","3","35","0.333","320","80","60","2","25","3","68","22","19","240","80.000","1.06"
"2025","73801","KBO-73801","삼성 라이온즈","송은범","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=73801","4.50","5","0","0","0","0","0","0","-","28","6","9","0","3","0","2","3","3","18","6.000","2.00"
"2025","75421","KBO-75421","삼성 라이온즈","오승환","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=75421","8.00","12","0","0","0","0","0","0","-","45","9","15","1","3","0","7","8","8","27","9.000","2.00"
"2025","75867","KBO-75867","LG 트윈스","김진성","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=75867","3.44","78","0","0","6","4","1","33","0.600","291","70 2/3","61","7","24","0","63","28","27","212","70.667","1.20"
"2025","76118","KBO-76118","키움 히어로즈","원종현","P","키움","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76118","6.13","61","0","0","2","4","5","11","0.333","248","54 1/3","68","5","18","3","40","42","37","163","54.333","1.58"
"2025","76225","KBO-76225","KIA 타이거즈","김건국","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76225","6.85","26","0","0","0","3","0","1","0.000","216","46","59","11","17","5","31","38","35","138","46.000","1.65"
"2025","76430","KBO-76430","롯데 자이언츠","김상수","P","롯데","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76430","6.38","45","0","0","0","1","2","3","0.000","180","36 2/3","48","4","18","3","27","26","26","110","36.667","1.80"
"2025","76650","KBO-76650","롯데 자이언츠","진해수","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76650","","","","","","","","","","","","","","","","","","","","",""
"2025","76715","KBO-76715","한화 이글스","류현진","P","한화","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=76715","3.23","26","0","0","9","7","0","0","0.563","574","139 1/3","144","12","25","4","122","54","50","418","139.333","1.21"
"2025","77211","KBO-77211","NC 다이노스","이용찬","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77211","10.57","12","0","0","1","2","0","1","0.333","83","15 1/3","23","1","12","4","14","18","18","46","15.333","2.28"
"2025","77263","KBO-77263","LG 트윈스","김강률","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77263","1.46","12","0","0","1","0","1","4","1.000","51","12 1/3","7","0","8","1","9","2","2","37","12.333","1.22"
"2025","77318","KBO-77318","한화 이글스","장시환","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77318","","","","","","","","","","","","","","","","","","","","",""
"2025","77446","KBO-77446","삼성 라이온즈","백정현","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77446","1.95","29","0","0","2","0","1","3","1.000","128","32 1/3","19","1","7","2","31","7","7","97","32.333","0.80"
"2025","77637","KBO-77637","KIA 타이거즈","양현종","P","KIA","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77637","5.06","30","0","0","7","9","0","0","0.438","677","153","171","12","57","4","109","101","86","459","153.000","1.49"
"2025","77829","KBO-77829","SSG 랜더스","김광현","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=77829","5.00","28","0","0","10","10","0","0","0.500","636","144","164","13","50","4","138","86","80","432","144.000","1.49"
"2025","78352","KBO-78352","삼성 라이온즈","임창민","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=78352","4.85","16","0","0","1","0","0","2","1.000","63","13","17","5","7","1","6","8","7","39","13.000","1.85"
"2025","79140","KBO-79140","KT 위즈","최동환","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=79140","8.68","20","0","0","1","1","0","0","0.500","91","18 2/3","27","4","12","1","9","19","18","56","18.667","2.09"
"2025","79764","KBO-79764","한화 이글스","장민재","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=79764","","","","","","","","","","","","","","","","","","","","",""
