"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","source_level","level_adjustment","PA","AB","SBA","OOB","PKO","contact","power","plate_discipline","bat_control","timing","bunt","speed","baserunning_judgment","contact_percentile","power_percentile","plate_discipline_percentile","bat_control_percentile","timing_percentile","speed_percentile","baserunning_judgment_percentile","adjusted_avg","adjusted_iso","adjusted_hr_rate","adjusted_bb_rate","adjusted_k_rate","adjusted_sba_rate","adjusted_sb_pct","adjusted_oob_rate","adjusted_pko_rate","batting_confidence","running_confidence","timing_source","timing_split_ab","fielding_range","catching","throwing_power","throwing_accuracy","fielding_judgment","composure","leadership","aggressiveness","formula_version"
"2025","51003","KBO-51003","KT 위즈","권동진","IF","KBO","0","309","271","4","1","1","9","8","12","7","9","10","10","11","0.2518","0.2291","0.6583","0.1475","0.3414","0.4846","0.5674","0.2351","0.0907","0.0076","0.0957","0.2705","0.0575","0.7491","0.0166","0.0086","high","low","kbo_pitcher_type_splits","271","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","51005","KBO-51005","KT 위즈","김건형","OF","KBO","0","1","1","0","0","0","10","10","10","10","10","1","10","10","0.5011","0.5020","0.5010","0.5016","0.5008","0.5007","0.5000","0.2595","0.1252","0.0208","0.0905","0.1942","0.0821","0.7488","0.0267","0.0041","very_low","none","kbo_pitcher_type_splits","1","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","54097","KBO-54097","KT 위즈","김민석","C","FUTURES","-2","161","147","0","","","9","8","6","9","9","1","7","8","0.5952","0.4470","0.2331","0.6054","0.5993","0.2541","0.5000","0.2998","0.1355","0.0199","0.0917","0.1617","0.0406","0.6957","","","medium","low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64004","KBO-64004","KT 위즈","김민혁","OF","KBO","0","417","380","14","2","0","13","7","7","14","12","8","12","12","0.8052","0.1061","0.1606","0.8905","0.7241","0.7225","0.6958","0.2817","0.0597","0.0041","0.0660","0.1172","0.0948","0.7703","0.0175","0.0011","high","medium","kbo_pitcher_type_splits","380","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","52002","KBO-52002","KT 위즈","김병준","OF","KBO","0","5","5","0","0","0","10","10","10","10","10","1","10","10","0.5043","0.5036","0.4988","0.4986","0.5018","0.5037","0.4988","0.2592","0.1204","0.0200","0.0871","0.2059","0.0805","0.7488","0.0262","0.0040","very_low","very_low","kbo_pitcher_type_splits","5","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","79402","KBO-79402","KT 위즈","김상수","IF","KBO","0","423","355","4","1","0","10","9","14","14","11","9","8","12","0.5206","0.2587","0.8432","0.8517","0.5781","0.2081","0.6783","0.2554","0.0915","0.0136","0.1169","0.1465","0.0424","0.7491","0.0122","0.0011","high","medium","kbo_pitcher_type_splits","355","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64007","KBO-64007","KT 위즈","문상철","IF","KBO","0","209","173","2","1","0","9","12","13","10","10","6","10","10","0.2646","0.6678","0.7536","0.4726","0.4167","0.4546","0.5356","0.2316","0.1306","0.0230","0.1105","0.2059","0.0545","0.7073","0.0209","0.0018","medium","low","kbo_pitcher_type_splits","173","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","55004","KBO-55004","KT 위즈","박민석","OF","FUTURES","-2","97","82","4","","","7","7","8","8","8","1","8","8","0.3657","0.3341","0.4230","0.4051","0.3814","0.5392","0.4025","0.2695","0.1179","0.0111","0.1114","0.1787","0.0995","0.5684","","","low","low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","69056","KBO-69056","KT 위즈","박민석","IF","KBO","0","21","19","1","1","0","10","10","10","10","10","1","10","10","0.5273","0.5228","0.5247","0.5241","0.5125","0.5446","0.4652","0.2623","0.1314","0.0174","0.0921","0.1952","0.0896","0.6807","0.0410","0.0036","very_low","very_low","kbo_pitcher_type_splits","19","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64166","KBO-64166","KT 위즈","배정대","OF","KBO","0","276","240","9","2","0","8","9","9","9","9","11","12","10","0.1856","0.2880","0.2661","0.3307","0.3593","0.7222","0.4131","0.2212","0.0989","0.0109","0.0748","0.2250","0.1065","0.7099","0.0271","0.0017","medium","low","kbo_pitcher_type_splits","240","","","","","","","","","kbo-hitter-abilities-v2-compressed"
