"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"김규성","now","66614","김규성","HT","KIA","내야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=66614","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김기연","now","66112","김기연","OB","두산","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=66112","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김기중","now","51715","김기중","SM","상무","투수","좌투좌타","/Futures/Player/PitcherDetail.aspx?playerId=51715","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김기훈","now","69620","김기훈","HT","KIA","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=69620","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김녹원","now","52995","김녹원","NC","NC","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=52995","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대우","retire","78536","김대우","LT","롯데","투수","우투좌타","/Record/Retire/Pitcher.aspx?playerId=78536","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대우","retire","61365","김대우","SS","삼성","투수","우언우타","/Record/Retire/Pitcher.aspx?playerId=61365","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대유","now","60337","김대유","HT","KIA","투수","좌투좌타","/Record/Player/PitcherDetail/Basic.aspx?playerId=60337","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대유","retire","61812","김대유","SK","SK","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=61812","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대한","now","69238","김대한","OB","두산","외야수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=69238","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김대한","retire","50395","김대한","WO","고양","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=50395","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
