"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS","SAC","SF","PA_OTHER","SAC_SF_CANDIDATES","SAC_SF_SOURCE","SAC_SF_CONFIDENCE","ISO","K_RATE","BB_RATE","BB_K","XBH","XBH_RATE","HR_RATE","basic_source_url"
"2025","51528","KBO-51528","롯데 자이언츠","손성빈","C","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51528","0.145","51","69","62","6","9","0","0","1","12","3","0","0","4","1","20","1","0.194","0.209","1","0.403","2","0","0","0","kbo_basic_leaderboard","official","0.049","0.2899","0.0580","0.200","1","0.0145","0.0145","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51551","KBO-51551","롯데 자이언츠","나승엽","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51551","0.229","105","392","328","40","75","12","2","9","118","44","0","0","55","5","65","10","0.360","0.347","8","0.707","3","1","0","1","kbo_basic_leaderboard","official","0.131","0.1658","0.1403","0.846","23","0.0587","0.0230","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51762","KBO-51762","한화 이글스","장규현","C","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51762","1.000","2","2","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1.000","1.000","0","2.000","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.0000","0.5000","","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51764","KBO-51764","한화 이글스","정민규","IF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51764","","","","","","","","","","","","","","","","","","","","","","","","","","","unavailable","","","","","","","","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51860","KBO-51860","SSG 랜더스","박정빈","OF","","0","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51860","","","","","","","","","","","","","","","","","","","","","","","","","","","unavailable","","","","","","","","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51865","KBO-51865","SSG 랜더스","조형우","C","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51865","0.238","102","294","269","23","64","8","0","4","84","29","0","0","19","3","64","5","0.312","0.294","4","0.606","1","2","0","2","kbo_basic_leaderboard","official","0.074","0.2177","0.0646","0.297","12","0.0408","0.0136","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51868","KBO-51868","SSG 랜더스","고명준","IF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51868","0.278","130","500","471","46","131","20","1","17","204","64","2","0","20","2","99","12","0.433","0.306","3","0.739","0","7","0","7","kbo_basic_leaderboard","official","0.155","0.1980","0.0400","0.202","38","0.0760","0.0340","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51903","KBO-51903","NC 다이노스","김정호","C","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51903","0.444","8","11","9","3","4","0","0","0","4","0","0","0","0","1","4","0","0.444","0.500","0","0.944","1","0","0","0","kbo_basic_leaderboard","official","0.000","0.3636","0.0000","0.000","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51907","KBO-51907","NC 다이노스","김주원","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51907","0.289","144","624","539","98","156","26","8","15","243","65","44","11","63","16","111","8","0.451","0.379","29","0.830","4","2","0","2","kbo_basic_leaderboard","official","0.162","0.1779","0.1010","0.568","49","0.0785","0.0240","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","51996","KBO-51996","NC 다이노스","오태양","IF","NC","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51996","0.250","14","13","12","6","3","0","0","0","3","1","2","1","1","0","3","0","0.250","0.308","1","0.558","0","0","0","0","kbo_basic_leaderboard","official","0.000","0.2308","0.0769","0.333","0","","0.0000","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KT","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52001","0.334","112","482","395","72","132","19","4","22","225","80","7","1","75","9","72","4","0.570","0.448","8","1.018","0","3","0","3","kbo_basic_leaderboard","official","0.236","0.1494","0.1556","1.042","45","0.0934","0.0456","https://www.koreabaseball.com/Record/Player/HitterBasic/Basic1.aspx"
