"snapshot_date","kbo_player_id","player_uid","team","name","profile_name","position_group","position_name","birth_date","age","bats_throws","height_cm","weight_kg","career","is_rookie","is_foreign","membership_source","last_movement_date","last_movement_type","source_note","source_url"
"2025-10-31","78352","KBO-78352","삼성 라이온즈","임창민","임창민","P","투수","1985-08-25","40","우투우타","183","94","광주대성초-광주동성중-광주동성고-연세대-히어로즈-경찰-히어로즈-NC-두산-키움-삼성","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=78352"
"2025-10-31","54467","KBO-54467","삼성 라이온즈","정민성","정민성","P","투수","2005-05-09","20","우투우타","184","98","군산중앙초-군산중-군산상일고","0","0","movement","2025-05-04","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=54467"
"2025-10-31","62146","KBO-62146","삼성 라이온즈","최성훈","최성훈","P","투수","1989-10-11","36","좌투좌타","178","75","가동초-잠신중-경기고-경희대-LG-삼성","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=62146"
"2025-10-31","65320","KBO-65320","삼성 라이온즈","최원태","최원태","P","투수","1997-01-07","28","우투우타","184","104","인헌초(용산구리틀)-서울경원중-서울고-히어로즈-키움-LG","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=65320"
"2025-10-31","67421","KBO-67421","삼성 라이온즈","최지광","최지광","P","투수","1998-03-13","27","우투우타","173","85","감천초-대신중-부산고-삼성-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=67421"
"2025-10-31","66451","KBO-66451","삼성 라이온즈","최충연","최충연","P","투수","1997-03-05","28","우투우타","190","85","대구수창초-대구중-경북고-삼성","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=66451"
"2025-10-31","68501","KBO-68501","삼성 라이온즈","최하늘","최하늘","P","투수","1999-03-26","26","우언우타","190","99","서울학동초-자양중-경기고-롯데-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=68501"
"2025-10-31","50430","KBO-50430","삼성 라이온즈","홍원표","홍원표","P","투수","2001-03-27","24","우투우타","183","86","신도초-부천중-부천고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50430"
"2025-10-31","50441","KBO-50441","삼성 라이온즈","황동재","황동재","P","투수","2001-11-03","23","우투우타","191","97","율하초-경운중-경북고-상무","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50441"
"2025-10-31","53375","KBO-53375","삼성 라이온즈","후라도","후라도","P","투수","1996-01-30","29","우투우타","188","109","파나마 San Judas Tadeo(고)-키움","0","1","opening_roster","","","외국인","https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53375"
