"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","G","SBA","SB","CS","SB_PCT","OOB","PKO","source_url"
"2025","52105","KBO-52105","LG 트윈스","김성우","C","LG","1","7","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52121","KBO-52121","LG 트윈스","문정빈","IF","LG","1","21","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52154","KBO-52154","LG 트윈스","이주헌","C","LG","1","76","0","0","0","-","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52208","KBO-52208","두산 베어스","천현재","OF","두산","1","3","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52267","KBO-52267","두산 베어스","김동준","IF","두산","1","36","2","1","1","50.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52305","KBO-52305","키움 히어로즈","박수종","OF","키움","1","38","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52415","KBO-52415","삼성 라이온즈","이재현","IF","삼성","1","139","7","6","1","85.7","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52424","KBO-52424","삼성 라이온즈","김재혁","OF","삼성","1","8","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52430","KBO-52430","삼성 라이온즈","김영웅","IF","삼성","1","125","8","6","2","75.0","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52504","KBO-52504","롯데 자이언츠","김동혁","OF","롯데","1","93","17","13","4","76.5","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52514","KBO-52514","롯데 자이언츠","김세민","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52516","KBO-52516","롯데 자이언츠","조세진","OF","롯데","1","12","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52568","KBO-52568","롯데 자이언츠","한태양","IF","롯데","1","108","5","3","2","60.0","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52591","KBO-52591","롯데 자이언츠","윤동희","OF","롯데","1","97","6","4","2","66.7","1","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52605","KBO-52605","KIA 타이거즈","김도영","IF","KIA","1","30","3","3","0","100","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52667","KBO-52667","KIA 타이거즈","윤도현","IF","KIA","1","40","3","2","1","66.7","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52704","KBO-52704","한화 이글스","이상혁","OF","한화","1","39","7","3","4","42.9","0","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52764","KBO-52764","한화 이글스","허인서","C","한화","1","20","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52769","KBO-52769","한화 이글스","권광민","IF","한화","1","15","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52803","KBO-52803","SSG 랜더스","김태윤","IF","SSG","1","8","2","1","1","50.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52804","KBO-52804","SSG 랜더스","석정우","IF","SSG","1","27","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","52807","KBO-52807","SSG 랜더스","임근우","OF","SSG","1","3","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53123","KBO-53123","LG 트윈스","오스틴","IF","LG","1","116","3","3","0","100","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53144","KBO-53144","LG 트윈스","김범석","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53204","KBO-53204","두산 베어스","박민준","C","두산","1","7","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53305","KBO-53305","키움 히어로즈","박성빈","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53309","KBO-53309","키움 히어로즈","서유신","IF","키움","1","6","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53312","KBO-53312","키움 히어로즈","김건희","C","키움","1","105","3","2","1","66.7","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53344","KBO-53344","키움 히어로즈","김동헌","C","키움","1","49","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","53411","KBO-53411","삼성 라이온즈","박진우","C","삼성","1","1","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
