"snapshot_date","team","roster_date","kbo_player_id","name","position_group","uniform_number","source_url"
"2025-10-31","두산 베어스","2025-09-30","51298","박성재","C","15","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","76232","양의지","C","25","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","63123","강승호","IF","23","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","64468","박계범","IF","14","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","55252","박준순","IF","52","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","50204","박지훈","IF","37","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","51203","안재석","IF","62","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","64153","양석환","IF","53","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","50208","오명진","IF","6","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","67207","이유찬","IF","13","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","53554","김민석","OF","2","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","63257","김인태","OF","33","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","78224","김재환","OF","32","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","79231","정수빈","OF","31","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","66209","조수행","OF","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","55208","케이브","OF","8","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","72523","고효준","P","35","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","68220","곽빈","P","47","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","54263","김택연","P","63","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","68249","박신지","P","49","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","65639","박정수","P","12","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","67266","박치국","P","1","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","52202","윤태호","P","65","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","52204","이병헌","P","29","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","66291","이영하","P","50","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","55239","잭로그","P","39","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","51264","최승용","P","28","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","67263","최원준","P","61","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","53259","최준호","P","41","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","52206","최지강","P","42","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","55257","콜어빈","P","57","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","두산 베어스","2025-09-30","61643","홍건희","P","17","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","54506","강승구","C","39","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","51528","손성빈","C","28","https://www.koreabaseball.com/Player/RegisterAll.aspx"
