"season","game_date","game_id","start_time","away_team","away_score","home_team","home_score","stadium","source_url"
"2025","2025-08-07","20250807HTLT0","18:30","KIA","6","롯데","5","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250807&gameId=20250807HTLT0&section=REVIEW"
"2025","2025-08-07","20250807KTHH0","18:30","KT","5","한화","4","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250807&gameId=20250807KTHH0&section=REVIEW"
"2025","2025-08-07","20250807OBLG0","18:30","두산","3","LG","4","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250807&gameId=20250807OBLG0&section=REVIEW"
"2025","2025-08-07","20250807SSSK0","18:30","삼성","6","SSG","1","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250807&gameId=20250807SSSK0&section=REVIEW"
"2025","2025-08-07","20250807WONC0","18:30","키움","13","NC","12","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250807&gameId=20250807WONC0&section=REVIEW"
"2025","2025-08-08","20250808HHLG0","18:30","한화","1","LG","2","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250808&gameId=20250808HHLG0&section=REVIEW"
"2025","2025-08-08","20250808HTNC0","18:30","KIA","4","NC","5","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250808&gameId=20250808HTNC0&section=REVIEW"
"2025","2025-08-08","20250808OBWO0","18:30","두산","9","키움","2","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250808&gameId=20250808OBWO0&section=REVIEW"
"2025","2025-08-08","20250808SKLT0","18:30","SSG","1","롯데","0","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250808&gameId=20250808SKLT0&section=REVIEW"
"2025","2025-08-08","20250808SSKT0","18:30","삼성","8","KT","4","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250808&gameId=20250808SSKT0&section=REVIEW"
"2025","2025-08-09","20250809HHLG0","18:00","한화","1","LG","8","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250809&gameId=20250809HHLG0&section=REVIEW"
"2025","2025-08-09","20250809OBWO0","18:00","두산","6","키움","4","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250809&gameId=20250809OBWO0&section=REVIEW"
"2025","2025-08-09","20250809SSKT0","18:00","삼성","1","KT","3","수원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250809&gameId=20250809SSKT0&section=REVIEW"
"2025","2025-08-10","20250810HHLG0","18:00","한화","5","LG","4","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250810&gameId=20250810HHLG0&section=REVIEW"
"2025","2025-08-10","20250810HTNC0","18:00","KIA","12","NC","16","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250810&gameId=20250810HTNC0&section=REVIEW"
