"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","55208","KBO-55208","두산 베어스","케이브","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55208","","","","","","","","","","","","","","","","","","","","",""
"2024","55216","KBO-55216","두산 베어스","김성재","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55216","","","","","","","","","","","","","","","","","","","","",""
"2024","55224","KBO-55224","두산 베어스","이선우","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55224","","","","","","","","","","","","","","","","","","","","",""
"2024","55226","KBO-55226","두산 베어스","김준상","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55226","","","","","","","","","","","","","","","","","","","","",""
"2024","55252","KBO-55252","두산 베어스","박준순","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55252","","","","","","","","","","","","","","","","","","","","",""
"2024","55339","KBO-55339","키움 히어로즈","염승원","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55339","","","","","","","","","","","","","","","","","","","","",""
"2024","55370","KBO-55370","키움 히어로즈","양현종","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55370","","","","","","","","","","","","","","","","","","","","",""
"2024","55371","KBO-55371","키움 히어로즈","권혁빈","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55371","","","","","","","","","","","","","","","","","","","","",""
"2024","55392","KBO-55392","키움 히어로즈","어준서","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55392","","","","","","","","","","","","","","","","","","","","",""
"2024","55393","KBO-55393","키움 히어로즈","여동욱","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55393","","","","","","","","","","","","","","","","","","","","",""
"2024","55397","KBO-55397","키움 히어로즈","전태현","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55397","","","","","","","","","","","","","","","","","","","","",""
"2024","55435","KBO-55435","삼성 라이온즈","차승준","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55435","","","","","","","","","","","","","","","","","","","","",""
"2024","55438","KBO-55438","삼성 라이온즈","심재훈","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55438","","","","","","","","","","","","","","","","","","","","",""
"2024","55440","KBO-55440","삼성 라이온즈","함수호","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55440","","","","","","","","","","","","","","","","","","","","",""
"2024","55502","KBO-55502","롯데 자이언츠","김동현","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55502","","","","","","","","","","","","","","","","","","","","",""
"2024","55506","KBO-55506","롯데 자이언츠","한승현","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55506","","","","","","","","","","","","","","","","","","","","",""
"2024","55509","KBO-55509","롯데 자이언츠","박건우","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55509","","","","","","","","","","","","","","","","","","","","",""
"2024","55511","KBO-55511","롯데 자이언츠","이태경","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55511","","","","","","","","","","","","","","","","","","","","",""
"2024","55530","KBO-55530","롯데 자이언츠","박찬형","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55530","","","","","","","","","","","","","","","","","","","","",""
"2024","55563","KBO-55563","롯데 자이언츠","박재엽","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55563","","","","","","","","","","","","","","","","","","","","",""
"2024","55636","KBO-55636","KIA 타이거즈","박재현","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55636","","","","","","","","","","","","","","","","","","","","",""
"2024","55637","KBO-55637","KIA 타이거즈","박헌","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55637","","","","","","","","","","","","","","","","","","","","",""
"2024","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55645","","","","","","","","","","","","","","","","","","","","",""
"2024","55703","KBO-55703","한화 이글스","리베라토","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55703","","","","","","","","","","","","","","","","","","","","",""
"2024","55710","KBO-55710","한화 이글스","이민재","OF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55710","","","","","","","","","","","","","","","","","","","","",""
"2024","55767","KBO-55767","한화 이글스","한지윤","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55767","","","","","","","","","","","","","","","","","","","","",""
"2024","55798","KBO-55798","한화 이글스","배승수","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55798","","","","","","","","","","","","","","","","","","","","",""
"2024","55832","KBO-55832","SSG 랜더스","이율예","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55832","","","","","","","","","","","","","","","","","","","","",""
"2024","55894","KBO-55894","SSG 랜더스","최윤석","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55894","","","","","","","","","","","","","","","","","","","","",""
"2024","55897","KBO-55897","SSG 랜더스","홍대인","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55897","","","","","","","","","","","","","","","","","","","","",""
"2024","55926","KBO-55926","KIA 타이거즈","정현창","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55926","","","","","","","","","","","","","","","","","","","","",""
"2024","55993","KBO-55993","NC 다이노스","장창훈","IF","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=55993","","","","","","","","","","","","","","","","","","","","",""
"2024","60523","KBO-60523","롯데 자이언츠","정훈","IF","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=60523","0.500","4","12","8","1","4","1","0","0","5","1","0","0","4","0","1","1","0.625","0.667","0","1.292"
"2024","60558","KBO-60558","SSG 랜더스","오태곤","OF","SSG","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=60558","0.333","1","5","3","1","1","1","0","0","2","0","1","0","1","1","1","0","0.667","0.600","0","1.267"
"2024","61102","KBO-61102","롯데 자이언츠","유강남","C","롯데","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=61102","0.143","3","8","7","0","1","0","0","0","1","0","0","0","1","0","0","2","0.143","0.250","0","0.393"
"2024","61353","KBO-61353","KIA 타이거즈","고종욱","OF","KIA","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=61353","0.230","39","103","100","11","23","5","1","1","33","5","0","1","3","0","22","0","0.330","0.252","1","0.582"
"2024","61404","KBO-61404","삼성 라이온즈","김헌곤","OF","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=61404","0.333","1","3","3","0","1","0","0","0","1","0","0","0","0","0","1","1","0.333","0.333","0","0.666"
"2024","62234","KBO-62234","삼성 라이온즈","류지혁","IF","삼성","1","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62234","0.214","5","16","14","2","3","0","0","0","3","0","0","0","2","0","4","0","0.214","0.313","0","0.527"
"2024","62244","KBO-62244","NC 다이노스","박세혁","C","","0","https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=62244","","","","","","","","","","","","","","","","","","","","",""
