"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","defense_position","G","GS","IP","E","PKO","PO","A","DP","FPCT","PB","SB","CS","CS_PCT","source_url"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KT","좌익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52001","KBO-52001","KT 위즈","안현민","OF","KT","중견수","14","12","88 2/3","1","0","18","0","0","0.947","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55005","KBO-55005","KT 위즈","오서진","IF","KT","2루수","1","0","1 1/3","1","0","0","0","0","0.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55005","KBO-55005","KT 위즈","오서진","IF","KT","3루수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","55005","KBO-55005","KT 위즈","오서진","IF","KT","유격수","2","0","2","0","0","2","1","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64504","KBO-64504","KT 위즈","오윤석","IF","KT","1루수","34","22","190 1/3","0","0","171","15","16","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64504","KBO-64504","KT 위즈","오윤석","IF","KT","2루수","48","21","215 1/3","1","0","48","76","12","0.992","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64504","KBO-64504","KT 위즈","오윤석","IF","KT","3루수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51013","KBO-51013","KT 위즈","유준규","OF","KT","우익수","2","2","12","0","0","2","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51013","KBO-51013","KT 위즈","유준규","OF","KT","좌익수","17","4","41 2/3","0","0","8","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51013","KBO-51013","KT 위즈","유준규","OF","KT","중견수","8","1","25 2/3","0","0","8","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","1루수","9","1","23","0","0","19","2","4","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","3루수","2","0","5","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","50092","KBO-50092","KT 위즈","윤준혁","IF","KT","유격수","4","0","11","0","0","0","4","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67644","KBO-67644","KT 위즈","이정훈","OF","KT","1루수","2","1","9","1","0","8","0","0","0.889","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","67644","KBO-67644","KT 위즈","이정훈","OF","KT","좌익수","24","17","132","0","0","23","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68504","KBO-68504","KT 위즈","이호연","IF","KT","1루수","12","9","80","0","0","68","5","3","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68504","KBO-68504","KT 위즈","이호연","IF","KT","2루수","5","0","8 2/3","0","0","1","2","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68504","KBO-68504","KT 위즈","이호연","IF","KT","3루수","6","3","28","1","0","3","2","0","0.833","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","78548","KBO-78548","KT 위즈","장성우","C","KT","포수","112","98","836 2/3","5","0","708","43","5","0.993","4","104","11","9.6","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64115","KBO-64115","KT 위즈","장준원","IF","KT","2루수","11","4","40 1/3","0","0","11","16","4","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64115","KBO-64115","KT 위즈","장준원","IF","KT","3루수","11","0","26 1/3","0","0","2","4","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","64115","KBO-64115","KT 위즈","장준원","IF","KT","유격수","62","47","355","3","0","72","114","26","0.984","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66706","KBO-66706","KT 위즈","장진혁","OF","KT","우익수","27","5","77","1","0","19","0","0","0.950","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66706","KBO-66706","KT 위즈","장진혁","OF","KT","좌익수","41","11","159","0","0","37","3","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66706","KBO-66706","KT 위즈","장진혁","OF","KT","중견수","20","13","109 1/3","0","0","36","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","68089","KBO-68089","KT 위즈","조대현","C","KT","포수","62","24","246 2/3","7","0","196","10","1","0.967","2","15","2","11.8","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51007","KBO-51007","KT 위즈","최성민","OF","KT","우익수","21","2","50","0","0","10","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51007","KBO-51007","KT 위즈","최성민","OF","KT","좌익수","10","1","17 1/3","0","0","6","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","51007","KBO-51007","KT 위즈","최성민","OF","KT","중견수","3","1","5 1/3","1","0","1","0","0","0.500","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","79240","KBO-79240","KT 위즈","허경민","IF","KT","3루수","113","110","936 1/3","10","0","75","161","10","0.959","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","76313","KBO-76313","KT 위즈","황재균","IF","KT","1루수","79","65","561 2/3","3","0","541","50","38","0.995","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","76313","KBO-76313","KT 위즈","황재균","IF","KT","2루수","3","1","11","1","0","2","2","0","0.800","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","76313","KBO-76313","KT 위즈","황재균","IF","KT","3루수","38","31","271 2/3","1","0","23","22","2","0.978","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","76313","KBO-76313","KT 위즈","황재균","IF","KT","유격수","1","0","1","0","0","0","1","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69100","KBO-69100","LG 트윈스","구본혁","IF","LG","2루수","35","26","220 2/3","1","0","51","63","16","0.991","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69100","KBO-69100","LG 트윈스","구본혁","IF","LG","3루수","68","33","328 2/3","2","0","21","72","9","0.979","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69100","KBO-69100","LG 트윈스","구본혁","IF","LG","유격수","57","36","315","3","0","57","97","22","0.981","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","69100","KBO-69100","LG 트윈스","구본혁","IF","LG","좌익수","4","2","16","0","0","2","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","52105","KBO-52105","LG 트윈스","김성우","C","LG","포수","5","0","9","0","0","8","0","0","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66162","KBO-66162","LG 트윈스","김주성","IF","LG","1루수","4","3","21","0","0","28","2","1","1.000","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66162","KBO-66162","LG 트윈스","김주성","IF","LG","2루수","2","0","3","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66162","KBO-66162","LG 트윈스","김주성","IF","LG","3루수","1","1","4","1","0","0","2","0","0.667","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","66162","KBO-66162","LG 트윈스","김주성","IF","LG","좌익수","1","0","1","0","0","0","0","0","-","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
"2025","76290","KBO-76290","LG 트윈스","김현수","OF","LG","1루수","12","9","83","2","0","73","9","6","0.976","0","0","0","-","https://www.koreabaseball.com/Record/Player/Defense/Basic.aspx"
